2025-11-08 22:13:05 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:13:05 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:13:05 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:13:05 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:23:40 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:23:40 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:26:22 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:26:22 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:29:16 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:29:16 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:33:32 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:34:16 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:34:48 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:34:48 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:35:06 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:35:06 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:35:17 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:35:17 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:35:36 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:35:36 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:35:40 | INFO     | bootrun | <module>:242 | 15개의 라우터가 등록되었습니다.
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:94 | ============================================================
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:95 | 🚀 BootRun API 서버 시작
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:96 | ============================================================
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:97 | 📝 환경: 운영
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:98 | 📚 문서: http://localhost:8000/docs
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:99 | 📖 ReDoc: http://localhost:8000/redoc
2025-11-08 22:35:40 | INFO     | bootrun | lifespan:100 | ============================================================
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:35:47 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:35:47 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:35:49 | INFO     | bootrun | <module>:242 | 15개의 라우터가 등록되었습니다.
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:94 | ============================================================
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:95 | 🚀 BootRun API 서버 시작
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:96 | ============================================================
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:97 | 📝 환경: 운영
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:98 | 📚 문서: http://localhost:8000/docs
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:99 | 📖 ReDoc: http://localhost:8000/redoc
2025-11-08 22:35:49 | INFO     | bootrun | lifespan:100 | ============================================================
2025-11-08 22:37:34 | INFO     | bootrun | lifespan:105 | ============================================================
2025-11-08 22:37:34 | INFO     | bootrun | lifespan:106 | 🛑 BootRun API 서버 종료
2025-11-08 22:37:34 | INFO     | bootrun | lifespan:107 | ============================================================
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 22:37:39 | INFO     | bootrun | configure_logging:322 | ============================================================
2025-11-08 22:37:39 | INFO     | bootrun | register_exception_handlers:244 | 모든 예외 핸들러가 등록되었습니다 (IS_DEBUG=False)
2025-11-08 22:37:42 | INFO     | bootrun | <module>:242 | 15개의 라우터가 등록되었습니다.
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:94 | ============================================================
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:95 | 🚀 BootRun API 서버 시작
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:96 | ============================================================
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:97 | 📝 환경: 운영
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:98 | 📚 문서: http://localhost:8000/docs
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:99 | 📖 ReDoc: http://localhost:8000/redoc
2025-11-08 22:37:42 | INFO     | bootrun | lifespan:100 | ============================================================
2025-11-08 22:38:45 | INFO     | bootrun | lifespan:105 | ============================================================
2025-11-08 22:38:45 | INFO     | bootrun | lifespan:106 | 🛑 BootRun API 서버 종료
2025-11-08 22:38:45 | INFO     | bootrun | lifespan:107 | ============================================================
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:315 | ============================================================
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:316 | BootRun 로깅 시스템 초기화 완료
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:317 | 환경: production
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:318 | 로그 레벨: INFO
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:319 | 로그 파일: logs/app.log
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:320 | 최대 크기: 100MB
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:321 | 보관 일수: 30일
2025-11-08 23:24:43 | INFO     | bootrun | configure_logging:322 | ============================================================
